File name,Dice score
004 CT 5mm_0.jpg,1
004 CT 5mm_1.jpg,1
004 CT 5mm_10.jpg,0
004 CT 5mm_11.jpg,0
004 CT 5mm_12.jpg,0.498808578
004 CT 5mm_13.jpg,0.788290952
004 CT 5mm_14.jpg,0.741299429
004 CT 5mm_15.jpg,0.805419489
004 CT 5mm_16.jpg,0
004 CT 5mm_17.jpg,0.877248782
004 CT 5mm_18.jpg,0.855634518
004 CT 5mm_19.jpg,0
004 CT 5mm_2.jpg,1
004 CT 5mm_20.jpg,0.892366308
004 CT 5mm_21.jpg,0.746140914
004 CT 5mm_22.jpg,0.835259339
004 CT 5mm_23.jpg,0.848192771
004 CT 5mm_24.jpg,0
004 CT 5mm_25.jpg,0
004 CT 5mm_26.jpg,0.394160584
004 CT 5mm_27.jpg,0
004 CT 5mm_28.jpg,0
004 CT 5mm_29.jpg,0
004 CT 5mm_3.jpg,1
004 CT 5mm_30.jpg,1
004 CT 5mm_31.jpg,1
004 CT 5mm_32.jpg,1
004 CT 5mm_33.jpg,1
004 CT 5mm_34.jpg,1
004 CT 5mm_35.jpg,1
004 CT 5mm_4.jpg,1
004 CT 5mm_5.jpg,1
004 CT 5mm_6.jpg,1
004 CT 5mm_7.jpg,1
004 CT 5mm_8.jpg,1
004 CT 5mm_9.jpg,0
013 CT PRE CONTRAST 5MM STD_0.jpg,0
013 CT PRE CONTRAST 5MM STD_1.jpg,1
013 CT PRE CONTRAST 5MM STD_10.jpg,0
013 CT PRE CONTRAST 5MM STD_11.jpg,0
013 CT PRE CONTRAST 5MM STD_12.jpg,0
013 CT PRE CONTRAST 5MM STD_13.jpg,0
013 CT PRE CONTRAST 5MM STD_14.jpg,0
013 CT PRE CONTRAST 5MM STD_15.jpg,0.831052945
013 CT PRE CONTRAST 5MM STD_16.jpg,0.77545178
013 CT PRE CONTRAST 5MM STD_17.jpg,0
013 CT PRE CONTRAST 5MM STD_18.jpg,0.865642994
013 CT PRE CONTRAST 5MM STD_19.jpg,0.755163082
013 CT PRE CONTRAST 5MM STD_2.jpg,1
013 CT PRE CONTRAST 5MM STD_20.jpg,0
013 CT PRE CONTRAST 5MM STD_21.jpg,0
013 CT PRE CONTRAST 5MM STD_22.jpg,0
013 CT PRE CONTRAST 5MM STD_23.jpg,0
013 CT PRE CONTRAST 5MM STD_24.jpg,0
013 CT PRE CONTRAST 5MM STD_25.jpg,0
013 CT PRE CONTRAST 5MM STD_26.jpg,1
013 CT PRE CONTRAST 5MM STD_27.jpg,1
013 CT PRE CONTRAST 5MM STD_28.jpg,1
013 CT PRE CONTRAST 5MM STD_29.jpg,1
013 CT PRE CONTRAST 5MM STD_3.jpg,1
013 CT PRE CONTRAST 5MM STD_4.jpg,1
013 CT PRE CONTRAST 5MM STD_5.jpg,0
013 CT PRE CONTRAST 5MM STD_6.jpg,0.46312629
013 CT PRE CONTRAST 5MM STD_7.jpg,0
013 CT PRE CONTRAST 5MM STD_8.jpg,0.522053507
013 CT PRE CONTRAST 5MM STD_9.jpg,0
018 CT 5mm_0.jpg,1
018 CT 5mm_1.jpg,1
018 CT 5mm_10.jpg,0
018 CT 5mm_11.jpg,0
018 CT 5mm_12.jpg,0
018 CT 5mm_13.jpg,0
018 CT 5mm_14.jpg,1
018 CT 5mm_15.jpg,0
018 CT 5mm_16.jpg,0.235827664
018 CT 5mm_17.jpg,0
018 CT 5mm_18.jpg,0
018 CT 5mm_19.jpg,0
018 CT 5mm_2.jpg,1
018 CT 5mm_20.jpg,0
018 CT 5mm_21.jpg,0
018 CT 5mm_22.jpg,0
018 CT 5mm_23.jpg,0
018 CT 5mm_24.jpg,0
018 CT 5mm_25.jpg,0
018 CT 5mm_26.jpg,0
018 CT 5mm_27.jpg,0
018 CT 5mm_28.jpg,1
018 CT 5mm_29.jpg,1
018 CT 5mm_3.jpg,1
018 CT 5mm_30.jpg,1
018 CT 5mm_31.jpg,1
018 CT 5mm_4.jpg,1
018 CT 5mm_5.jpg,0
018 CT 5mm_6.jpg,0
018 CT 5mm_7.jpg,0
018 CT 5mm_8.jpg,0
018 CT 5mm_9.jpg,0
059 CT Plain_0.jpg,1
059 CT Plain_1.jpg,1
059 CT Plain_10.jpg,0.5174163
059 CT Plain_11.jpg,0.241484716
059 CT Plain_12.jpg,0
059 CT Plain_13.jpg,0
059 CT Plain_14.jpg,0.155253528
059 CT Plain_15.jpg,0
059 CT Plain_16.jpg,0
059 CT Plain_17.jpg,0
059 CT Plain_18.jpg,0
059 CT Plain_19.jpg,0
059 CT Plain_2.jpg,1
059 CT Plain_20.jpg,0
059 CT Plain_21.jpg,0
059 CT Plain_22.jpg,0
059 CT Plain_23.jpg,0
059 CT Plain_24.jpg,0
059 CT Plain_25.jpg,1
059 CT Plain_26.jpg,1
059 CT Plain_27.jpg,1
059 CT Plain_3.jpg,1
059 CT Plain_4.jpg,0
059 CT Plain_5.jpg,0.684789644
059 CT Plain_6.jpg,0
059 CT Plain_7.jpg,0
059 CT Plain_8.jpg,0.480853586
059 CT Plain_9.jpg,0.235784685
084 CT Plain_0.jpg,1
084 CT Plain_1.jpg,1
084 CT Plain_10.jpg,0
084 CT Plain_11.jpg,0
084 CT Plain_12.jpg,0
084 CT Plain_13.jpg,0
084 CT Plain_14.jpg,0
084 CT Plain_15.jpg,0
084 CT Plain_16.jpg,0
084 CT Plain_17.jpg,0
084 CT Plain_18.jpg,0
084 CT Plain_19.jpg,0
084 CT Plain_2.jpg,1
084 CT Plain_20.jpg,0
084 CT Plain_21.jpg,0
084 CT Plain_22.jpg,0
084 CT Plain_23.jpg,0
084 CT Plain_24.jpg,0
084 CT Plain_25.jpg,0
084 CT Plain_26.jpg,0
084 CT Plain_27.jpg,0
084 CT Plain_28.jpg,0.034380557
084 CT Plain_29.jpg,0
084 CT Plain_3.jpg,1
084 CT Plain_30.jpg,0
084 CT Plain_31.jpg,1
084 CT Plain_32.jpg,1
084 CT Plain_33.jpg,1
084 CT Plain_4.jpg,1
084 CT Plain_5.jpg,1
084 CT Plain_6.jpg,1
084 CT Plain_7.jpg,1
084 CT Plain_8.jpg,1
084 CT Plain_9.jpg,0
086 CT 55mm Plain_0.jpg,1
086 CT 55mm Plain_1.jpg,1
086 CT 55mm Plain_10.jpg,0
086 CT 55mm Plain_11.jpg,0
086 CT 55mm Plain_12.jpg,0
086 CT 55mm Plain_13.jpg,0
086 CT 55mm Plain_14.jpg,0
086 CT 55mm Plain_15.jpg,0
086 CT 55mm Plain_16.jpg,0.38779661
086 CT 55mm Plain_17.jpg,0.55865311
086 CT 55mm Plain_18.jpg,0
086 CT 55mm Plain_19.jpg,0.242997138
086 CT 55mm Plain_2.jpg,1
086 CT 55mm Plain_20.jpg,0.463005632
086 CT 55mm Plain_21.jpg,0.213695066
086 CT 55mm Plain_22.jpg,0.404340153
086 CT 55mm Plain_23.jpg,0.257204018
086 CT 55mm Plain_24.jpg,0.04937598
086 CT 55mm Plain_25.jpg,0.183455795
086 CT 55mm Plain_26.jpg,0.132374599
086 CT 55mm Plain_27.jpg,0
086 CT 55mm Plain_28.jpg,0
086 CT 55mm Plain_29.jpg,0
086 CT 55mm Plain_3.jpg,1
086 CT 55mm Plain_30.jpg,0
086 CT 55mm Plain_31.jpg,0
086 CT 55mm Plain_32.jpg,1
086 CT 55mm Plain_33.jpg,1
086 CT 55mm Plain_34.jpg,1
086 CT 55mm Plain_35.jpg,1
086 CT 55mm Plain_4.jpg,1
086 CT 55mm Plain_5.jpg,0
086 CT 55mm Plain_6.jpg,0
086 CT 55mm Plain_7.jpg,0
086 CT 55mm Plain_8.jpg,0
086 CT 55mm Plain_9.jpg,0
129 CT 55mm Plain_0.jpg,1
129 CT 55mm Plain_1.jpg,1
129 CT 55mm Plain_10.jpg,0
129 CT 55mm Plain_11.jpg,0
129 CT 55mm Plain_12.jpg,0
129 CT 55mm Plain_13.jpg,0
129 CT 55mm Plain_14.jpg,0.66931367
129 CT 55mm Plain_15.jpg,0
129 CT 55mm Plain_16.jpg,0
129 CT 55mm Plain_17.jpg,0
129 CT 55mm Plain_18.jpg,0
129 CT 55mm Plain_19.jpg,0
129 CT 55mm Plain_2.jpg,1
129 CT 55mm Plain_20.jpg,0.84389984
129 CT 55mm Plain_21.jpg,0.807997242
129 CT 55mm Plain_22.jpg,0.778947368
129 CT 55mm Plain_23.jpg,0.885764499
129 CT 55mm Plain_24.jpg,0.69058296
129 CT 55mm Plain_25.jpg,0.912479741
129 CT 55mm Plain_26.jpg,0.876952381
129 CT 55mm Plain_27.jpg,0.622283546
129 CT 55mm Plain_28.jpg,0
129 CT 55mm Plain_29.jpg,0
129 CT 55mm Plain_3.jpg,1
129 CT 55mm Plain_30.jpg,0
129 CT 55mm Plain_31.jpg,1
129 CT 55mm Plain_32.jpg,1
129 CT 55mm Plain_33.jpg,1
129 CT 55mm Plain_34.jpg,1
129 CT 55mm Plain_35.jpg,1
129 CT 55mm Plain_4.jpg,1
129 CT 55mm Plain_5.jpg,1
129 CT 55mm Plain_6.jpg,1
129 CT 55mm Plain_7.jpg,1
129 CT 55mm Plain_8.jpg,0
129 CT 55mm Plain_9.jpg,0
137 CT PRE CONTRAST 5MM STD_0.jpg,1
137 CT PRE CONTRAST 5MM STD_1.jpg,1
137 CT PRE CONTRAST 5MM STD_10.jpg,0
137 CT PRE CONTRAST 5MM STD_11.jpg,0.260936301
137 CT PRE CONTRAST 5MM STD_12.jpg,0.696666667
137 CT PRE CONTRAST 5MM STD_13.jpg,0.402347024
137 CT PRE CONTRAST 5MM STD_14.jpg,0.279935275
137 CT PRE CONTRAST 5MM STD_15.jpg,0.264109589
137 CT PRE CONTRAST 5MM STD_16.jpg,0.266313933
137 CT PRE CONTRAST 5MM STD_17.jpg,0
137 CT PRE CONTRAST 5MM STD_18.jpg,0
137 CT PRE CONTRAST 5MM STD_19.jpg,0
137 CT PRE CONTRAST 5MM STD_2.jpg,1
137 CT PRE CONTRAST 5MM STD_20.jpg,0
137 CT PRE CONTRAST 5MM STD_21.jpg,0
137 CT PRE CONTRAST 5MM STD_22.jpg,0
137 CT PRE CONTRAST 5MM STD_23.jpg,0
137 CT PRE CONTRAST 5MM STD_24.jpg,0
137 CT PRE CONTRAST 5MM STD_25.jpg,0
137 CT PRE CONTRAST 5MM STD_26.jpg,1
137 CT PRE CONTRAST 5MM STD_27.jpg,1
137 CT PRE CONTRAST 5MM STD_28.jpg,1
137 CT PRE CONTRAST 5MM STD_29.jpg,1
137 CT PRE CONTRAST 5MM STD_3.jpg,1
137 CT PRE CONTRAST 5MM STD_30.jpg,1
137 CT PRE CONTRAST 5MM STD_4.jpg,1
137 CT PRE CONTRAST 5MM STD_5.jpg,0
137 CT PRE CONTRAST 5MM STD_6.jpg,0
137 CT PRE CONTRAST 5MM STD_7.jpg,0
137 CT PRE CONTRAST 5MM STD_8.jpg,0
137 CT PRE CONTRAST 5MM STD_9.jpg,0
457 CT 2.55mm_0.jpg,1
457 CT 2.55mm_1.jpg,1
457 CT 2.55mm_10.jpg,0.801548033
457 CT 2.55mm_11.jpg,0.883024022
457 CT 2.55mm_12.jpg,0.73476819
457 CT 2.55mm_13.jpg,0.789623699
457 CT 2.55mm_14.jpg,0.685361636
457 CT 2.55mm_15.jpg,0.74649913
457 CT 2.55mm_16.jpg,0.783846773
457 CT 2.55mm_17.jpg,0.829638661
457 CT 2.55mm_18.jpg,0.82688625
457 CT 2.55mm_19.jpg,0.698256255
457 CT 2.55mm_2.jpg,1
457 CT 2.55mm_20.jpg,0.732061762
457 CT 2.55mm_21.jpg,0
457 CT 2.55mm_22.jpg,0
457 CT 2.55mm_23.jpg,0
457 CT 2.55mm_24.jpg,1
457 CT 2.55mm_25.jpg,1
457 CT 2.55mm_26.jpg,1
457 CT 2.55mm_27.jpg,1
457 CT 2.55mm_3.jpg,1
457 CT 2.55mm_4.jpg,0
457 CT 2.55mm_5.jpg,0
457 CT 2.55mm_6.jpg,0.583143508
457 CT 2.55mm_7.jpg,0.682336182
457 CT 2.55mm_8.jpg,0
457 CT 2.55mm_9.jpg,0.460712093
481 CT Plain_0.jpg,1
481 CT Plain_1.jpg,1
481 CT Plain_10.jpg,0.47568474
481 CT Plain_11.jpg,0.729770992
481 CT Plain_12.jpg,0.774274707
481 CT Plain_13.jpg,0
481 CT Plain_14.jpg,0.852015461
481 CT Plain_15.jpg,0.842390614
481 CT Plain_16.jpg,0.740175615
481 CT Plain_17.jpg,0.789034947
481 CT Plain_18.jpg,0
481 CT Plain_19.jpg,0
481 CT Plain_2.jpg,1
481 CT Plain_20.jpg,0
481 CT Plain_21.jpg,0
481 CT Plain_22.jpg,0
481 CT Plain_23.jpg,0
481 CT Plain_24.jpg,0
481 CT Plain_25.jpg,1
481 CT Plain_26.jpg,1
481 CT Plain_27.jpg,1
481 CT Plain_28.jpg,1
481 CT Plain_29.jpg,1
481 CT Plain_3.jpg,1
481 CT Plain_4.jpg,0.262857143
481 CT Plain_5.jpg,0
481 CT Plain_6.jpg,0.095490716
481 CT Plain_7.jpg,0.796269023
481 CT Plain_8.jpg,0.763731473
481 CT Plain_9.jpg,0.619679634
average,0.455487889
